COD_PAI4;COD_SAL;POSAR;FOBDOL;FOBPES
BEL;BOG;106190000;40;162406
BEL;BOG;106131200;100;400506
BEL;BOG;810901030;3504;14146314
BEL;BOG;810905000;1275;5147417
BEL;BOG;810905000;13837;54844909
BEL;BOG;8517622000;1312;5220768
BEL;BOG;3304100000;22280;88564210
BEL;BOG;8537101000;4623;18918596
BEL;BOG;9018901000;1384;5585695
BMU;BOG;4202111000;493;2018337
BMU;BOG;4202210000;21889;89575988
BMU;BOG;4202310000;3786;15495526
BMU;BOG;4202911000;199;814701
BMU;BOG;4202919000;166;679654
BMU;BOG;4203300000;533;2181294
BLR;BOG;603199010;26089;106376903
BLR;BOG;603110000;33270;136998188
BLR;BOG;603121000;532;2190622
BLR;BOG;603129000;10821;44555681
BLR;BOG;603129000;2612;10605152
BLR;BOG;603110000;22181;91051890
BLR;BOG;603121000;418;1721203
BLR;BOG;603129000;20660;84889335
BLR;BOG;603193000;5902;23997919
BLR;BOG;603199090;436;1774311
BLR;BOG;603110000;3654;15046112
BLR;BOG;603121000;143;586774
BLR;BOG;603129000;399;1642966
BLR;BOG;603193000;309;1271549
BLR;BOG;603129000;1626;6578982
BLR;BOG;603121000;44;176742
BLR;BOG;603129000;1461;5814366
BLR;BOG;603121000;728;2987894
BLR;BOG;603129000;3462;14151484
BLR;BOG;603110000;5956;23673648
BLR;BOG;603121000;4591;18249241
BLR;BOG;603129000;1757;6985227
BLR;BOG;603199010;36;147315
BLR;BOG;603110000;1;4117
BLR;BOG;603121000;5573;22584559
BLR;BOG;603129000;73347;296931698
BLR;BOG;603110000;190;768951
BLR;BOG;603141000;179;717488
BLR;BOG;603149000;26;101507
BLR;BOG;603193000;462;1852611
BLR;BOG;603199090;61;243617
BLR;BOG;604200000;29;115041
BOL;BOG;6108210000;1338;5397265
BOL;BOG;6108220000;4610;18596763
BOL;BOG;6108320000;5736;23139783
BOL;BOG;6103430000;2282;9137945
BOL;BOG;6104520000;510;2044183
BOL;BOG;6104620000;452;1810287
BOL;BOG;6104630000;1438;5757674
BOL;BOG;6109100000;1011;4049917
BOL;BOG;6109909000;2032;8138282
BOL;BOG;6110309000;4838;19378082
BOL;BOG;6204420000;1040;4164461
BOL;BOG;6307909000;75;308744
BOL;BOG;8308109000;10578;43547183
BOL;BOG;6104420000;9;36304
BOL;BOG;6108320000;4;16135
BOL;BOG;6211110000;10;40338
BOL;BOG;3004902900;1639;6564293
BOL;BOG;3926909090;14120;56128271
BOL;BOG;6104230000;139;551899
BOL;BOG;6104430000;134;541439
BOL;BOG;6104530000;39;156094
BOL;BOG;6104630000;595;2361474
BOL;BOG;6105209000;36;144143
BOL;BOG;6106200000;1140;4581771
BOL;BOG;6107991000;30;121578
BOL;BOG;6108220000;166;663774
BOL;BOG;6108320000;171;692744
BOL;BOG;6108920000;185;732187
BOL;BOG;6109100000;103;405751
BOL;BOG;6109909000;2763;10993193
BOL;BOG;6110301000;76;302215
BOL;BOG;6110309000;973;3857551
BOL;BOG;6114300000;129;513185
BOL;BOG;6203330000;147;582782
BOL;BOG;6203421000;492;1947025
BOL;BOG;6203430000;212;837306
BOL;BOG;6204230000;31;124773
BOL;BOG;6204320000;36;145805
BOL;BOG;6204330000;61;242216
BOL;BOG;6204430000;19;76385
BOL;BOG;6204520000;108;437333
BOL;BOG;6204620000;223;882741
BOL;BOG;6204630000;173;684694
BOL;BOG;6205200000;405;1603411
BOL;BOG;6206300000;99;391028
BOL;BOG;6206400000;1365;5457483
BOL;BOG;6208220000;18;71790
BOL;BOG;6208920000;161;650879
BOL;BOG;6212100000;276;1097017
BOL;BOG;6212200000;301;1190972
BOL;BOG;7117190000;1233;4986072
BOL;BOG;9405509000;780;3154718
BOL;BOG;9615190000;153;620428
BOL;BOG;6108210000;4412;18056956
BOL;BOG;6108220000;1910;7817578
BOL;BOG;6212100000;3133;12819715
BOL;BOG;3920430000;2227;8852088
BOL;BOG;5407510000;305;1227595
BOL;BOG;5407520000;7601;30263185
BOL;BOG;5407520000;74;295309
BOL;BOG;5407530000;72;285252
BOL;BOG;5407540000;490;1947635
BOL;BOG;5407690000;1539;6163280
BOL;BOG;5407810000;177;715642
BOL;BOG;5407830000;82;329403
BOL;BOG;5407910000;238;949594
BOL;BOG;5407920000;532;2143214
BOL;BOG;5407930000;332;1331494
BOL;BOG;5407940000;416;1660999
BOL;BOG;6006310000;2025;8129957
BOL;BOG;6006320000;1065;4287142
BOL;BOG;7117190000;154796;619426891
BOL;BOG;7117190000;10077;39883319
BOL;BOG;3004201900;5714;23508724
BOL;BOG;3004501000;64282;264472979
BOL;BOG;3004902900;65883;271061480
BOL;BOG;3006600000;4397;18090533
BOL;BOG;2905399000;32706;130987490
BOL;BOG;3004201900;18025;71650600
BOL;BOG;3004902900;52312;209180223
BOL;BOG;3304990000;87374;349939114
BOL;BOG;3824999900;5116;20934519
BOL;BOG;5407510000;40;160594
BOL;BOG;5407520000;98;391758
BOL;BOG;5515110000;26;104363
BOL;BOG;5806200000;7885;31806750
BOL;BOG;6101300000;150;595731
BOL;BOG;6103430000;241;962523
BOL;BOG;6104230000;433;1733991
BOL;BOG;6104330000;110;437254
BOL;BOG;6104430000;1772;7088491
BOL;BOG;6104630000;286;1143057
BOL;BOG;6105209000;681;2715754
BOL;BOG;6106200000;3417;13663219
BOL;BOG;6107120000;645;2581767
BOL;BOG;6108220000;492;1966468
BOL;BOG;6108320000;317;1266489
BOL;BOG;6108920000;33;131206
BOL;BOG;6109909000;5418;21645025
BOL;BOG;6110309000;2565;10223810
BOL;BOG;6114300000;1884;7528198
BOL;BOG;6203320000;157;624682
BOL;BOG;6203421000;49;195447
BOL;BOG;6204420000;593;2360676
BOL;BOG;6204430000;16;63480
BOL;BOG;6204620000;1591;6356354
BOL;BOG;6204630000;29;115826
BOL;BOG;6206400000;1869;7474174
BOL;BOG;6207999000;111;442559
BOL;BOG;6208920000;206;820431
BOL;BOG;6211420000;36;144479
BOL;BOG;6212100000;80;320004
BOL;BOG;6212200000;1409;5622087
BOL;BOG;7117190000;5042;20239075
BOL;BOG;7612909000;10;40051
BOL;BOG;3004501000;51937;213682481
BOL;BOG;3004902900;11032;45389917
BOL;BOG;6103430000;27;108802
BOL;BOG;6104230000;360;1458820
BOL;BOG;6104330000;237;964199
BOL;BOG;6104430000;852;3466076
BOL;BOG;6104630000;613;2493818
BOL;BOG;6105209000;106;434155
BOL;BOG;6106200000;692;2819587
BOL;BOG;6107120000;22;87985
BOL;BOG;6107991000;40;164021
BOL;BOG;6108220000;524;2122094
BOL;BOG;6108320000;303;1227288
BOL;BOG;6108920000;71;287570
BOL;BOG;6109909000;5183;21171838
BOL;BOG;6110309000;2550;10342876
BOL;BOG;6114300000;522;2131287
BOL;BOG;6203421000;45;182279
BOL;BOG;6204420000;246;1007204
BOL;BOG;6204520000;88;362048
BOL;BOG;6204620000;1325;5386448
BOL;BOG;6204630000;462;1872096
BOL;BOG;6206400000;1634;6647793
BOL;BOG;6208220000;78;319611
BOL;BOG;6208920000;480;1957052
BOL;BOG;6212100000;69;281061
BOL;BOG;6212200000;1042;4232056
BOL;BOG;7117190000;5228;21141943
BOL;BOG;7117190000;4142;16587677
BOL;BOG;3507100000;21867;86672178
BOL;BOG;9402109000;11340;45780523
BOL;BOG;3507909000;7620;30763388
BOL;BOG;6104630000;237;955038
BOL;BOG;6106200000;867;3498266
BOL;BOG;6108220000;329;1326701
BOL;BOG;6114300000;1387;5601238
BOL;BOG;6115210000;1567;6326600
BOL;BOG;6212100000;603;2434910
BOL;BOG;6212200000;4913;19836087
BOL;BOG;6212200000;1605;6379224
BOL;BOG;6212300000;352;1400623
BOL;BOG;901211000;2220;8857556
BOL;BOG;901220000;1340;5346453
BOL;BOG;3923210000;2;8359
BOL;BOG;4202190000;10;39807
BOL;BOG;4202320090;10;39011
BOL;BOG;4901910000;34400;139669160
BOL;BOG;4911100000;0;1009
BOL;BOG;5408100000;8368;34445978
BOL;BOG;6104630000;635;2567662
BOL;BOG;6108220000;4420;17571249
BOL;BOG;6108320000;860;3419372
BOL;BOG;6108920000;686;2726594
BOL;BOG;6110301000;304;1225408
BOL;BOG;6112120000;216;872840
BOL;BOG;6115101000;3445;13932690
BOL;BOG;6202300000;466;1882098
BOL;BOG;6203421000;597;2368156
BOL;BOG;6204130000;648;2614081
BOL;BOG;6204320000;432;1778367
